,game_id,white_player,black_player,winning_player,move_list
0,IxgcuAMI,ruchitoshniwal1,Username54321,Username54321,d4 d6 Nf3 Nf6 Bg5 c6 c4 Qa5+ Nc3 Bg4 e3 Bxf3 Qxf3 Qxg5 g3 Nbd7 Bg2 e5 dxe5 dxe5 Qe2 Bd6 O-O O-O-O Rfd1 Bc7 Rd2 h5 Rad1 h4 Ne4 Nxe4 Bxe4 hxg3 fxg3 f5 Bg2 f4 exf4 exf4 gxf4 Qxf4 Rf1 Qxh2+ Kf2 Rhf8+ Ke1 Rde8 Kd1 Rxe2 Rxe2 Rxf1+ Bxf1 Qh5 Ke1 Bg3+ Kd2 Qg5+ Re3 Nc5 Bh3+ Kc7 Bf1 Bf4 Ke2 Bxe3 Kd1 Qd5+ Ke1 Qd2#
1,U6QJVSi6,piotrex,ruchitoshniwal1,ruchitoshniwal1,d4 d5 Nf3 Nf6 c4 c5 dxc5 e6 cxd5 exd5 Nc3 Bxc5 e3 Nc6 Bb5 Bg4 h3 Bh5 O-O O-O a3 a6 Bxc6 bxc6 b4 Bb6 g4 Bg6 Ne5 Bc7 Nxc6 Qd6 Nd4 Ne4 Nxe4 Qh2#
2,ErC4K1Ps,ANONYMOUS,ruchitoshniwal1,ANONYMOUS,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 Bc5 Bxc6 dxc6 d4 exd4 Nxd4 Bxd4 Be3 c5 Bxd4 cxd4 Ne2 c5 O-O O-O c3 Bg4 cxd4 cxd4 Qxd4 Bxe2 Qxd8 Raxd8 Rfe1 Rd2 e5 Ng4 f3 Nxe5 Kf2 Bc4+ Ke3 Rxb2 Kd4 f6 Rxe5 fxe5+ Kxc4 Rc8+ Kd5 Rd2+ Kxe5 Re8+ Kf4 Rd4+ Kg3 h5 f4 Re3+ Kh4 g6 Rb1 Rxf4+ Kg5 Rd4 Rxb7 Re5+ Kh6 Kf8 Rb8+ Kf7 Rb7+ Ke6 Rxa7 Kf6 Ra6+ Re6 Rxe6+ Kxe6 Kxg6 Rd5 Kg7 Ke7 Kg6 Re5 Kg7 Rg5+ Kh6 Kf6 Kh7 Rg7+ Kh6 Rg5 Kh7 Kf7 Kh6 h4 Kxg5
3,waSRX000,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,e4 e5 d4 Nc6 Nf3 Nf6 Nc3 exd4 Nxd4 Bc5 Nxc6 bxc6 Na4 Nxe4 Be3 Bxe3 fxe3 Qh4+ Ke2 Qf2+ Kd3 d5 Qd2 Qxd2#
4,MX85BjR4,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bb4 a3 Bxc3 dxc3 Nxe4 Qe2 f5 O-O a6 Bd5 Qf6 Bxe4 fxe4 Qxe4 b5 Bg5 Qg6 Qe2 d5 Nxe5 Nxe5 Qxe5+ Qe6 Qxg7 Rg8 Qxh7 Rxg5 Rfe1 Qxe1+ Rxe1+ Kf8 Re7 Rg8 Qf7#
5,ytJthWwK,ruchitoshniwal1,JoanJL,ruchitoshniwal1,d4 d5 Nf3 Bf5 c4 c6 Nc3 Nf6 Qb3 Qd7 Ne5 Qc7 cxd5 Nbd7 dxc6 bxc6 Qxf7+ Kd8 Nxd7 Qxd7 Qc4 e6 e3 a6 Bd3 Bxd3 Qxd3 Bb4 Bd2 Bxc3 Qxc3 Nd5 Qc2 g6 Rc1 Rf8 O-O a5 Qxc6 Qxc6 Rxc6 Rc8 Rxc8+ Kxc8 Bxa5 Nf6 Rc1+ Kb7 Bb4 Rf7 h3 Ne4 f3 Nf6 Kf2 Nd7 Ba5 Nb6 Bxb6 Kxb6 b4 Ra7 Rc2 Ra4 Rb2 Kb5 e4 Kc4 Ke3 Kc3 Rb3+ Kc4 b5 Rxa2 b6 Ra8 b7 Rb8 Rb1 Kc3 Kf4 Kxd4 g4 Kc5 Ke5 Kc6 Kxe6 Re8+ Kf7 Rb8 Kg7 Kd6 Kxh7 Ke5 Kxg6 Kf4 Kf6 Kxf3 e5 Kg3 e6 Kxh3 e7 Kxg4 Kf7 Kf5 e8=Q Rxe8 Kxe8
6,raT0vfV4,hemanths2023,ruchitoshniwal1,hemanths2023,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 Bd3 e6 O-O Bb4 a3 Bxc3 bxc3 O-O a4 c5 c4 Nc6 Bb2 Qb4 Ba3 Qxa4 Bxc5 Qa5
7,rmIL9uHC,ruchitoshniwal1,churiwalhardik,ruchitoshniwal1,e4 d6 Nf3 Be6 h3 Bc8 Bc4 c5 O-O Na6 d3 Nb4 a3 Qa5 axb4 Qxb4 Ra4 Qxa4 Ng5 Qxc4 dxc4 Bxh3 Qf3 Bc8 Qxf7+ Kd8 Qxf8+ Kc7 Nc3 Be6 Nxe6+ Kb6 Na4+ Ka6 Nc7+ Ka5 Qxa8 Nf6 Qxa7+ Kb4 c3+ Kxc4 Nb6+ Kb3 Bd2 Nxe4 Qa4+ Kxb2 Nc4#
8,FyveMDn5,MrunmayHosalli1_2005,ruchitoshniwal1,ruchitoshniwal1,e4 e5 Nc3 Nf6 Nf3 Nc6 g3 Bc5 Bg2 O-O O-O d6 a3 b6 Rb1 Ba6 Re1 Nd4 d3 Ng4 b4 Bxb4 Rxb4 Nxf3+ Qxf3 Bc8 d4 a5 Rb3 exd4 Nd5 c6 Nxb6 Rb8 Nxc8 Qxc8 Rxb8 Qxb8 Qxg4 Qb1 Rf1 Qxc2 Bh6 g6 Bxf8 Kxf8 Qh4 Kg7 Qg5 f6 Qc1 Qb3 Qxc6 Qxa3 Qc7+ Kh6 Rd1 Qb3 Rxd4 Qb1+ Bf1 Qa1 Qxd6 Qxd4 Qxd4 a4 Qxa4 f5 exf5 Kh5 f6 Kg5 f7 Kf5 f8=Q+ Ke5 Qa1+ Kd5 Qe1 Kd4 Qf7 Kc5 Qxh7 Kd4 Qxg6 Kd5 h4 Kd4 h5 Kd5 h6 Kd4 h7 Kc5 h8=Q Kd5 f4 Kc5 f5 Kd5 f6 Kc5 f7 Kd5 f8=Q
9,W9lYCVmJ,ruchitoshniwal1,MrunmayHosalli1_2005,MrunmayHosalli1_2005,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 g6 d3 Bg7 O-O O-O h3 a6 a3 d6 Re1 Re8 Bg5 Nd4 Nxd4 exd4 Ne2
10,oES6h58e,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,e4 e5 Bc4 Nf6 Nc3 Bc5 d3 O-O Nf3 Nc6 Bg5 h6 Bxf6 Qxf6 Nd5 Qd8 O-O d6 c3 Bd7 d4 exd4 cxd4 Bb6 Nxb6 cxb6 Qd3 Qf6 Rac1 Qg6 Nh4 Qf6 Nf3 a6 e5 dxe5 dxe5 Qe7 Bd5 Nxe5 Nxe5 Qxe5 Rfe1 Qg5 Bxb7 Rad8 Qe3 Qg6 Be4 Bf5 Rc6 Qg4 f3 Qh4 Bxf5 Rde8 Qxe8 g6 Rxg6+ fxg6 Qe6+ Rf7 Qxg6+ Kf8 Qd6+ Kg7 Be6 Rf6 g3 Qg5 f4 Qg4
11,7KvqXPhn,ANONYMOUS,ruchitoshniwal1,ANONYMOUS,g4 d5 Bg2 c6 h3 Na6 d4 e6 Nc3 Nf6 Nf3 Bb4 a3 Bxc3+ bxc3 h6 Ne5 Rf8 Qd3 Nd7 h4 f6 Qg6+ Ke7 Nd3 Nc7 Bf4 Ne8 e4 h5 exd5 exd5 Kd2 Ke6 gxh5 b5 Rhe1+ Ne5 Bxe5 Kd7 Bf4 Nd6 a4 Kc7 axb5 cxb5 Bxd5 Bb7 Nb4 Bc6 Be6 Bd7 Qxg7 Re8 Ra6 Qe7 Nd5+ Kb7 Rb6+ Kc8 Nxe7+ Rxe7 Qxe7 Kc7 Qxd6+ Kd8 Rb8+ Rxb8 Qf8+ Be8 Qxf6#
12,b4aAWCCd,ruchitoshniwal1,ANONYMOUS,ANONYMOUS,e4 e5 f3 c6 d3 Bc5 Nh3 d6 Nc3 b5 Bg5 Qa5 Qe2 Nd7 Bd2 Qc7 O-O-O Ne7 Ng5 b4 Na4 a5 c3 h6 a3 bxc3 bxc3 hxg5 Kc2 Ba6 Rb1 Rb8 Ra1 Qb7 Qd1 Qb3+ Kc1 Bxa3+ Rxa3 Qb1#
13,P555hGjC,ruchitoshniwal1,ANONYMOUS,ANONYMOUS,g4 d5 Nc3 Nf6 Bh3 b6 d3 Nbd7 e3 Nc5 e4 e6 exd5 Bd6 Bf4 Ba6 Qe2 Bxf4 Ne4 Nxd3+ Kd1 Nxb2+ Ke1 Bxe2 Kxe2 Nxe4 Rb1 Nc3+ Kf1 Qxd5 Nf3 Qxf3 Rxb2 Qd1+ Kg2 Qd3 a4 Ne2 f3 Rd8 Kf2 Qd2 g5 Bg3+ Kg2 Nf4+ Kf1 Qd1#
14,7a40ZWAa,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Nf3 Nc6 Bc4 d6 O-O Nf6 d3 Bg4 h3 d5 exd5 Nxd5 hxg4 g5 Re1 Bg7 Bxg5 Qb8 Bxd5 O-O Nc3 Kh8 Nh2 e4 Nxe4 a5 Nf6 a4 Qf3 Qa7 Qh3 h5 Qxh5+ Bh6 Qxh6#
15,KBhdhLEl,Vedkahate,ruchitoshniwal1,Vedkahate,d4 d5 g3 Nc6 Bg2 Bf5 Nf3 Nf6 O-O g6 Ne5 Bg7 Bd2 Nxe5 dxe5 Ng4 Bf3 Bxe5 Bg5 h6 Qxd5 Qxd5 Bxd5 Rb8 Rd1 Bxb2 Nd2
