game_id,white_player,black_player,winning_player,move_list
UWNtHs0N,ANONYMOUS,ritutoshniwal,ANONYMOUS,e4 e5 Bc4 Nc6 Qh5 h6 Qxf7#
vYvlCtTz,ritutoshniwal,ANONYMOUS,ritutoshniwal,e4 c6 Bc4 e5 Qf3 d5 exd5 cxd5 Bxd5 g6 Qxf7#
6QuscuXU,ANONYMOUS,ritutoshniwal,ritutoshniwal,d4 d5 f3 Nf6 e4 dxe4 fxe4 Nxe4 Bd3 Bf5 Bxe4 Bxe4 Nc3 Bxg2 Qe2 Bxh1 Qh5 Qxd4 Be3 Qxe3+ Kf1 Qd2 Ne4 Bg2#
bPKiMQXh,nelsonyeh9,ritutoshniwal,nelsonyeh9,e4 c5 d4 cxd4 c3 d6 Nf3 dxc3 Nxc3 Nc6 Bc4 Nf6 O-O g6 Qe2 Bg7 Rd1 O-O Bf4 Bg4 h3 Bh5 g4 Nxg4 hxg4 Bxg4 Kh2 Ne5 Bxe5 Bxe5+ Kg2 Qd7 Rh1 Bg7 Rh2 e6 Rah1 h6 Qe3 g5 Nxg5 hxg5 Qxg5
gjic8Xdq,ritutoshniwal,nachory,nachory,d4 d5 Nf3 e6 e3 a6 Bd3 h6 Nbd2 Nf6 O-O Bd6 Qe2 Nc6 c3 Nh7 e4 dxe4 Nxe4 Bd7 Nxd6+ cxd6 Bxh7 Rxh7 Bf4 Qe7 Rfe1 g5 Bg3 f5 d5 e5 dxc6 Bxc6 Qd3 f4 Bxf4 gxf4 Qg6+ Rf7 Qxh6 O-O-O Ng5 Rg7 h4 Rdg8 Rad1 Rg6 Qh5 Qf6 Qg4+ Bd7 Qf3 Rh6 Qd5 Rgh8 Nf7 Be6 Qxd6 Bxf7 Qd7+ Kb8 Qa4 Rxh4 Kf1 Rh1+ Ke2 Rxe1+ Rxe1 Bh5+ f3 e4 Qxe4 Re8 Qxe8+ Bxe8 Kf2 Qh4+ Kf1 Bb5+ Kg1 Qxe1+
M00OhEMk,rootsec1,ritutoshniwal,ritutoshniwal,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+ Kb7 Rd7+ Ka6 Ra5#
Og9t31ml,ritutoshniwal,rootsec1,ritutoshniwal,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6 Ke8 Qxg7 Re2 Qf7#
y0JYD9D5,ritutoshniwal,jorrish,ritutoshniwal,d4 d5 Nf3 Nc6 e3 Nf6 c3 e6 Bd3 Be7 Nbd2 O-O O-O a6 Qe2 b5 e4 dxe4 Nxe4 Nxe4 Qxe4 Bd7 Qxh7#
okOLZCAQ,ritutoshniwal,its_vikee,ritutoshniwal,d4 Nf6 Nf3 e6 e3 d5 Bd3 Nc6 c3 a6 Nbd2 h6 O-O Bd6 Qe2 b5 e4 Nxe4 Nxe4 dxe4 Qxe4 Bb7 Qg4 Qf6 Re1 Ne7 Be4 Bxe4 Qxe4 Ng6 Qxa8+ Kd7 Qxa6 Nh4 Qxb5+ Ke7 Nxh4 Qxh4 g3 Qg4 d5 h5 dxe6 fxe6 Bg5+ Kf7 Qd7+ Kg6 Rxe6+ Kh7
jRYFsula,ansxid,ritutoshniwal,ansxid,e4 c5 f4 Nc6 Nf3 d6 Nc3 Bg4 Be2 g6 h3 Bxf3 Bxf3 Nd4 d3 e6 Bg4 Qh4+ Kf1 Nf6 Bf3 Bg7 Kg1 Nh5 Bxh5 Qxh5 Qxh5 gxh5 Kh2 Nxc2 Rb1 Nd4 Be3 O-O Bxd4 cxd4 Nb5 a6 Nxd6 b5 Rhc1 Bh6 g3 h4 Rc7 hxg3+ Kxg3 Rad8 e5 f6 Rg1 fxe5 Kh2+ Kh8 Nf7+ Rxf7 Rxf7 Bxf4+ Kh1 Rg8 Rxg8+ Kxg8 Ra7 Bc1 b3 h5 Rxa6 Kf7 Rb6 Kf6 Rxb5 Kf5 Kg2 Kf4 Kf2 Be3+ Kg2 Kg5 Rxe5+ Kf4 Rxe6 Bd2 a4 Bc3 Re4+ Kf5 Kf3 Kg5 h4+ Kf5 Rf4+ Ke5 Rf7 Ke6 Rh7 Kd5 Rxh5+ Kc6 Rb5 Kd6 h5 Ke6 Kg4 Kf6 a5 Kg7 a6
